predator.name	SpecCode	gbif.taxon.id	dietary.niche.width	Cnidaria.other	Anthozoa	Annelida.other	Polychaeta	Clitellata	Mollusca.other	Polyplacophora	Bivalvia	Gastropoda	Cephalopoda	Brachiopoda.other	Arthropoda.other	Ostracoda	Maxillopoda	Malacostraca	Insecta	Echinodermata.other	Ophiuroidea	Echinoidea	Holothuroidea	Chordata.other	Actinopterygii	Chondrichthyes	Amphibia	Reptilia	Aves	Mammalia	Plantae.other	Animalia.other	Cnidaria-sub	Annelida-sub	Mollusca-sub	Arthropoda-sub	Brachiopoda-sub	Echinodermata-sub	Chordata-sub
Sparisoma viride	1161	2393894	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	168							
Haplochromis lividus	6762	2373299	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Hemigrammus unilineatus	12371	2354355	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	3							
Himantolophus paucifilosus	60777	2415091	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0							
Ponticola kessleri	25977	4285968	6	0	0	0	0	0	3	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	3	7							
Parotocinclus prata	60385	2340263	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0							
Chloroscombrus chrysurus	385	2391079	16	0	0	2	0	0	0	2	24	27	20	0	10	0	35	278	0	8	4	1	0	8	233	0	0	8	0	0	12	215							
Moenkhausia oligolepis	12391	2352558	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0							
Cirripectes obscurus	4396	2395860	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0							
Stromateus fiatola	1198	2397690	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Cheilodactylus vestitus	14413	2392179	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3							
Limanda sakhalinensis	50421	5213969	6	0	0	0	0	0	12	0	0	0	4	0	0	0	0	20	0	2	0	0	0	0	2	0	0	0	0	0	0	59							
Schistura daubentoni	26839	5205172	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0							
Thalassoma hardwicke	5643	2384460	6	0	0	0	3	0	6	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	13							
Schilbe mystus	2447	2341732	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	66	0	0	0	0	0	20	0	0	0	0	0	12	12							
Tautoga onitis	458	2383615	2	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Cheilodactylus variegatus	461	2392116	12	0	0	0	8	0	42	3	8	8	0	1	1	0	1	32	0	8	0	3	0	0	0	0	0	0	0	0	0	38							
Centropyge heraldi	5665	2396551	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3							
Tomicodon petersii	46481	2411512	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6							
Hyphessobrycon oritoensis	64099	2354591	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	12	0							
Parablennius sanguinolentus	1700	2395803	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3							
Poecilopsetta natalensis	8905	2409124	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Alloclinus holderi	3710	2389598	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Gymnotus carapo	10915	5212798	6	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	64	0	0	0	0	0	13	0	0	0	0	0	18	12							
Neoglyphidodon thoracotaeniatus	6922	2398576	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3							
Pseudopercis semifasciata	50136	2386944	10	0	0	0	1	0	12	0	2	0	10	0	0	0	0	11	0	2	0	0	0	2	12	0	0	0	0	0	7	12							
Rhynchocypris oxycephalus	48140	5851441	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0							
Canthigaster janthinoptera	6543	2407658	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	9							
Pangasius djambal	14145	5202453	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	3							
Holanthias caudalis	17352	2389058	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Cathorops melanopus	51769	2345197	9	0	0	4	3	0	3	0	0	0	0	0	0	3	0	18	4	0	0	0	0	0	9	0	0	0	0	0	3	6							
Nyassachromis leuciscus	2196	2370054	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3							
Squalius aphipsi	47815	2365775	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3							
Scytalina cerdale	3818	5209930	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Ossubtus xinguense	52630	2353904	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0							
Pagothenia borchgrevinki	7049	2385946	6	0	0	0	0	0	3	0	0	6	0	0	0	0	7	12	0	0	0	0	0	0	39	0	0	0	0	0	0	11							
Cubiceps pauciradiatus	5049	2381926	9	0	0	0	6	0	0	0	0	0	6	0	4	0	4	8	2	0	0	0	0	10	7	0	0	0	0	0	0	38							
Cyprinus yilongensis	57459	2367192	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Antennarius striatus	5474	5214795	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0							
Pomacentrus taeniometopon	10280	2398276	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0							
Copadichromis quadrimaculatus	2286	2373860	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	6	0							
Halichoeres socialis	60288	2384066	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Psilodraco breviceps	7105	2393122	6	4	0	0	6	0	0	0	0	6	0	0	0	0	0	15	0	0	0	0	0	0	6	0	0	0	0	0	0	3							
Pomacanthus paru	1118	2396447	7	7	62	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	62	216							
Cetoscarus bicolor	5538	2393553	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0							
Hippocampus coronatus	23141	5201126	6	0	0	0	0	0	3	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	3							
Heterodontus mexicanus	742	5215668	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0							
Labeo forskalii	11542	5206101	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	3							
Scarus quoyi	5554	2393542	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0							
Upeneus pori	46375	2396797	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6							
Ochmacanthus alternus	48776	2342889	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	6	0							
Periophthalmodon schlosseri	8414	2375731	3	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0							
Ambassis natalensis	8016	2387320	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3							
Zebrasoma gemmatum	7631	2379867	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0							
Sphoeroides testudineus	1242	2407878	12	0	1	0	3	0	14	0	8	5	2	0	0	3	0	15	0	0	0	0	0	1	3	0	0	0	0	0	5	6							
Coelorinchus japonicus	8450	2416055	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Stegastes planifrons	3653	2398894	14	6	5	0	9	0	6	0	0	3	0	0	0	0	6	10	4	6	2	0	1	0	3	0	0	0	0	0	78	24							
Pomacanthus semicirculatus	5663	2396399	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	12							
Rhinoptera steindachneri	13271	5215774	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Carcharhinus porosus	881	2418162	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	2	33	0	0	0	0	0	0	0							
Eurypharynx pelecanoides	4526	2415381	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Pristotis obtusirostris	8127	2398914	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	3	3							
Pseudanthias pascalus	6934	2387675	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	12	0	0	0	0	0	0	12							
Schistura psittacula	60943	5205087	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Hypostomus robinii	23349	5202253	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0							
Chromidotilapia guntheri	8159	4285698	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	4	8							
Diaphus splendidus	10174	2406262	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Valenciennea strigata	6575	2377379	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3							
Pseudorhombus triocellatus	1377	2408832	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Cheilodipterus artus	5780	2397540	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3							
Lepadogaster candolii	640	2411424	5	0	0	0	0	0	0	0	0	3	0	0	5	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3							
Limanda proboscidea	4243	5213962	7	0	0	0	18	0	9	0	8	0	0	0	0	0	1	4	0	0	0	0	0	0	2	0	0	0	0	0	0	15							
Urophycis floridana	1882	2415726	6	0	0	0	21	0	0	0	0	31	0	0	0	0	0	725	24	0	0	0	0	0	192	0	0	0	0	0	0	30							
Scolopsis affinis	5890	2380072	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Kryptopterus limpok	23093	2337903	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0							
Pseudobarbus asper	9924	2359871	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0							
Gobius vittatus	46337	2376545	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6							
Haplochromis granti	6746	2373535	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Leptostomias macropogon	61153	2346908	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0							
